sys1_isoBas_0004.rec ( 6094 Echant/voies ) Période acquisition :100ms
Date :25/07/2023 10:27:42
Temps	y_back[V]	u[V]	phi[V]	y_front[V]	
0,000000	-5,0509e-005	-3,0261e-002	-1,0244e-004	-8,8008e-006	
100,000000	-7,1554e-005	-2,2695e-002	-7,9675e-005	-2,9081e-005	
200,000000	-5,1657e-005	-2,6478e-002	-8,3469e-005	-6,2562e-005	
300,000000	-3,5395e-005	-2,2695e-002	-1,0623e-004	-6,1223e-005	
400,000000	-5,2422e-005	-2,2695e-002	-1,0623e-004	-7,4615e-006	
500,000000	-4,8213e-005	-3,0261e-002	-7,2087e-005	-2,9655e-005	
600,000000	-1,7219e-005	-2,2695e-002	-7,5881e-005	-4,3239e-005	
700,000000	-4,5917e-005	-3,0261e-002	-9,1057e-005	-5,9310e-006	
800,000000	-5,0126e-005	-2,6478e-002	-8,3469e-005	-2,2959e-005	
900,000000	-4,4195e-005	-2,2695e-002	-7,5881e-005	-4,1517e-005	
1000,000000	-4,2473e-005	-1,8913e-002	-9,1057e-005	-4,7830e-005	
1100,000000	-6,0649e-005	-2,6478e-002	-1,2520e-004	-2,5828e-005	
1200,000000	-4,9935e-005	-2,6478e-002	-8,3469e-005	-4,7639e-005	
1300,000000	-3,0994e-005	-1,8913e-002	-9,1057e-005	-5,7970e-005	
1400,000000	-4,6682e-005	-2,6478e-002	-1,2520e-004	-7,4615e-006	
1500,000000	-5,1848e-005	-3,0261e-002	-8,3469e-005	-2,7359e-005	
1600,000000	-4,1134e-005	-2,2695e-002	-7,2087e-005	-4,1134e-005	
1700,000000	-3,2142e-005	-2,6478e-002	-8,3469e-005	-4,4387e-005	
1800,000000	-4,4578e-005	-2,2695e-002	-9,8646e-005	-1,6454e-005	
1900,000000	-5,3570e-005	-2,2695e-002	-7,5881e-005	-3,5395e-005	
2000,000000	-2,3533e-005	-2,2695e-002	-7,9675e-005	-5,1848e-005	
2100,000000	-4,8787e-005	-2,2695e-002	-1,1003e-004	-4,7830e-006	
2200,000000	-5,6631e-005	-3,0261e-002	-8,7263e-005	-1,7602e-005	
2300,000000	-4,9744e-005	-2,6478e-002	-6,8293e-005	-3,4821e-005	
2400,000000	-6,5049e-006	-2,6478e-002	-7,5881e-005	-4,5152e-005	
2500,000000	-3,8073e-005	-2,6478e-002	-7,5881e-005	-4,4004e-006	
2600,000000	-6,1032e-005	-1,8913e-002	-1,0623e-004	-2,2193e-005	
2700,000000	-2,2959e-006	-2,6478e-002	-9,4851e-005	-4,0943e-005	
