sys1_isoBas_0010.rec ( 6094 Echant/voies ) Période acquisition :100ms
Date :01/09/2023 10:01:56
Temps	y[V]	u[V]	phi[V]	y_avant[V]	
0,000000	-7,4615e-006	-1,5130e-002	-5,1464e-005	1,1288e-005	
100,000000	1,3775e-005	-3,0261e-002	-2,0967e-005	4,9744e-006	
200,000000	1,1479e-005	-2,2695e-002	-4,0027e-005	1,8176e-005	
300,000000	1,4540e-005	-1,8913e-002	-4,1934e-005	7,2702e-006	
400,000000	2,2002e-005	-3,0261e-002	-5,3370e-005	1,5688e-005	
500,000000	-4,0178e-006	-2,6478e-002	-5,7182e-005	5,3570e-006	
600,000000	1,3201e-005	-1,8913e-002	-4,3840e-005	-2,1237e-005	
700,000000	-3,4821e-005	-3,0261e-002	-4,7652e-005	-2,0089e-005	
800,000000	-3,6351e-005	-2,6478e-002	-3,0497e-005	-4,3813e-005	
900,000000	-4,6874e-005	-2,6478e-002	-2,6685e-005	-4,7639e-005	
1000,000000	-4,8596e-005	-2,2695e-002	-3,2403e-005	-2,8316e-005	
1100,000000	-4,2091e-006	-2,6478e-002	-3,0497e-005	-3,9604e-005	
1200,000000	-1,3201e-005	-2,2695e-002	-3,4309e-005	1,1097e-005	
1300,000000	1,6645e-005	-2,2695e-002	-4,7652e-005	3,8264e-007	
1400,000000	1,6836e-005	-3,0261e-002	-4,3840e-005	1,4349e-005	
1500,000000	-5,9310e-006	-1,8913e-002	-5,5276e-005	-4,2091e-006	
1600,000000	-9,1834e-006	-2,2695e-002	-5,9088e-005	-2,4107e-005	
1700,000000	-4,3813e-005	-3,0261e-002	-4,5746e-005	-2,0854e-005	
1800,000000	-4,4195e-005	-2,2695e-002	-2,0967e-005	-4,9361e-005	
1900,000000	-3,3481e-005	-2,2695e-002	-2,6685e-005	-3,5203e-005	
2000,000000	-2,4872e-005	-3,0261e-002	-2,8591e-005	-1,3775e-005	
2100,000000	5,5483e-006	-1,8913e-002	-3,4309e-005	-1,5114e-005	
2200,000000	6,1223e-006	-1,8913e-002	-5,7182e-005	1,9706e-005	
2300,000000	1,7602e-005	-2,2695e-002	-5,1464e-005	1,7410e-005	
2400,000000	9,9487e-006	-3,0261e-002	-5,3370e-005	-2,1428e-005	
2500,000000	-3,6542e-005	-2,2695e-002	-4,5746e-005	-1,7028e-005	
2600,000000	-3,4055e-005	-3,0261e-002	-2,2873e-005	-4,3239e-005	
2700,000000	-2,6594e-005	-3,4043e-002	-5,7182e-006	-3,2716e-005	
2800,000000	-2,0089e-005	-1,8913e-002	-2,2873e-005	-5,1657e-006	
2900,000000	1,2053e-005	-2,2695e-002	-2,8591e-005	5,1657e-006	
3000,000000	2,3533e-005	-2,2695e-002	-6,0994e-005	8,0355e-006	
3100,000000	-5,9310e-006	-2,6478e-002	-6,0994e-005	1,5880e-005	
3200,000000	4,2091e-006	-1,8913e-002	-1,9061e-005	-2,7933e-005	
3300,000000	-4,2665e-005	-3,0261e-002	-1,9061e-005	-2,3150e-005	
3400,000000	-3,2333e-005	-3,0261e-002	-1,7155e-005	-1,4540e-005	
3500,000000	1,7984e-005	-2,2695e-002	-3,8121e-005	-5,3570e-006	
3600,000000	1,0714e-005	-2,6478e-002	-6,8618e-005	-7,6529e-007	
3700,000000	-2,6211e-005	-3,0261e-002	-6,0994e-005	-6,8876e-006	
3800,000000	-3,4629e-005	-2,2695e-002	-3,8121e-005	-5,3187e-005	
3900,000000	-3,9412e-005	-2,2695e-002	-2,8591e-005	-4,9744e-005	
4000,000000	-3,3290e-005	-2,2695e-002	-4,3840e-005	-3,4438e-006	
4100,000000	1,3010e-005	-2,6478e-002	-3,6215e-005	-3,0611e-006	
4200,000000	3,2525e-006	-2,6478e-002	-5,9088e-005	-1,4923e-005	
4300,000000	-5,0700e-005	-3,0261e-002	-7,0525e-005	-3,0994e-005	
4400,000000	-5,6057e-005	-2,2695e-002	-2,0967e-005	-4,3047e-005	
4500,000000	-9,5661e-006	-3,4043e-002	0,0000e+000	-3,3099e-005	
4600,000000	-6,3136e-006	-2,2695e-002	-3,6215e-005	8,0355e-006	
4700,000000	-5,5483e-006	-1,8913e-002	-5,5276e-005	5,7396e-007	
4800,000000	-2,6020e-005	-3,4043e-002	-3,6215e-005	-3,3673e-005	
4900,000000	-3,3099e-005	-2,6478e-002	-1,9061e-005	-3,7882e-005	
5000,000000	-1,1097e-005	-2,2695e-002	-4,0027e-005	1,1479e-005	
5100,000000	8,6095e-006	-2,6478e-002	-4,7652e-005	1,5688e-005	
5200,000000	-2,1428e-005	-3,0261e-002	-3,8121e-005	-4,0560e-005	
5300,000000	-4,1899e-005	-2,2695e-002	-3,4309e-005	-4,6300e-005	
5400,000000	-2,2959e-006	-2,6478e-002	-3,6215e-005	8,4182e-006	
5500,000000	8,4182e-006	-2,6478e-002	-4,0027e-005	2,0663e-005	
5600,000000	-2,2385e-005	-2,6478e-002	-3,4309e-005	-4,3621e-005	
5700,000000	-3,0420e-005	-3,0261e-002	-3,0497e-005	-4,8596e-005	
5800,000000	8,9921e-006	-3,0261e-002	-4,7652e-005	9,9487e-006	
5900,000000	-1,5306e-006	-2,2695e-002	-5,3370e-005	2,0663e-005	
6000,000000	-3,0420e-005	-2,6478e-002	-3,4309e-005	-4,7256e-005	
6100,000000	-3,0037e-005	-2,6478e-002	-2,0967e-005	-4,0178e-005	
6200,000000	1,8750e-005	-3,0261e-002	-5,7182e-005	1,2245e-005	
6300,000000	-3,0803e-005	-2,6478e-002	-6,0994e-005	2,6785e-006	
6400,000000	-3,5395e-005	-2,2695e-002	-2,4779e-005	-5,7014e-005	
6500,000000	-9,1834e-006	-2,6478e-002	-1,9061e-005	-2,1619e-005	
6600,000000	1,7984e-005	-1,8913e-002	-5,1464e-005	9,7574e-006	
6700,000000	-2,0280e-005	-2,6478e-002	-4,9558e-005	2,4872e-006	
6800,000000	-3,7308e-005	-2,6478e-002	-3,8121e-005	-3,7499e-005	
6900,000000	2,2959e-006	-3,0261e-002	-2,6685e-005	-2,2385e-005	
7000,000000	2,5446e-005	-3,4043e-002	-4,1934e-005	9,7574e-006	
7100,000000	-3,1951e-005	-1,5130e-002	-5,7182e-005	-8,2268e-006	
7200,000000	-3,7308e-005	-2,2695e-002	-2,0967e-005	-3,2142e-005	
7300,000000	-5,7396e-007	-1,5130e-002	-3,2403e-005	-2,1237e-005	
7400,000000	2,9655e-005	-3,4043e-002	-4,5746e-005	1,3775e-005	
7500,000000	-3,8838e-005	-1,5130e-002	-4,9558e-005	-1,3393e-005	
7600,000000	-4,4769e-005	-2,2695e-002	-7,6243e-006	-1,9132e-005	
7700,000000	1,8558e-005	-2,6478e-002	-2,0967e-005	-1,1479e-006	
7800,000000	1,8367e-005	-2,2695e-002	-4,1934e-005	1,7984e-005	
7900,000000	-2,0854e-005	-2,6478e-002	-4,3840e-005	-9,3748e-006	
8000,000000	-4,7639e-005	-2,6478e-002	-2,0967e-005	-2,7359e-005	
8100,000000	2,0280e-005	-3,4043e-002	-1,3342e-005	-1,1479e-005	
8200,000000	2,2002e-005	-1,8913e-002	-6,6712e-005	4,7830e-006	
8300,000000	-3,2142e-005	-2,2695e-002	-6,2900e-005	-1,3010e-005	
8400,000000	-4,0560e-005	-3,0261e-002	-1,7155e-005	-2,9846e-005	
8500,000000	3,4438e-006	-2,2695e-002	-1,9061e-005	-2,3341e-005	
8600,000000	1,3201e-005	-3,0261e-002	-7,0525e-005	-7,6529e-007	
8700,000000	-3,4247e-005	-3,4043e-002	-6,8618e-005	-1,1288e-005	
8800,000000	-4,0943e-005	-2,2695e-002	-1,5249e-005	-2,8507e-005	
8900,000000	-3,8264e-007	-2,2695e-002	-3,0497e-005	-8,0355e-006	
9000,000000	1,1288e-005	-3,0261e-002	-5,1464e-005	-1,6645e-005	
9100,000000	-3,9412e-005	-3,4043e-002	-3,4309e-005	-2,8698e-005	
9200,000000	-3,4629e-005	-1,8913e-002	-1,1436e-005	-1,5114e-005	
9300,000000	9,3748e-006	-2,6478e-002	-3,6215e-005	1,0331e-005	
9400,000000	-9,5661e-007	-2,6478e-002	-6,4806e-005	-3,4438e-005	
9500,000000	-5,7588e-005	-2,2695e-002	-5,1464e-005	-4,4578e-005	
9600,000000	-2,1428e-005	-2,2695e-002	-1,7155e-005	-5,3570e-006	
9700,000000	1,4923e-005	-2,2695e-002	-6,8618e-005	2,1811e-005	
9800,000000	8,9921e-006	4,4952e+001	-5,9088e-005	-1,4732e-005	
9900,000000	-9,7574e-006	4,4963e+001	7,6243e-005	1,5880e-005	
10000,000000	1,0523e-005	4,4975e+001	5,6038e-004	3,3673e-005	
10100,000000	1,7793e-005	4,4963e+001	1,2389e-003	9,2217e-005	
10200,000000	1,7793e-005	4,4952e+001	2,0242e-003	1,1556e-004	
10300,000000	1,5114e-005	4,4960e+001	2,7752e-003	1,3966e-004	
10400,000000	3,4438e-006	4,4956e+001	3,5281e-003	1,6989e-004	
10500,000000	1,7219e-005	4,4967e+001	4,2067e-003	1,8864e-004	
10600,000000	6,6963e-006	4,4963e+001	4,9100e-003	2,2710e-004	
10700,000000	1,7602e-005	4,4952e+001	5,5295e-003	2,3207e-004	
10800,000000	-1,1097e-005	4,4960e+001	6,1185e-003	2,6268e-004	
10900,000000	5,9310e-006	4,4960e+001	6,6598e-003	2,6039e-004	
