sys2_isoBas_0002.rec ( 6091 Echant/voies ) Période acquisition :100ms
Date :31/08/2023 17:05:14
Temps	y[V]	u[V]	phi[V]	y_avant[V]	
0,000000	-5,7396e-005	-2,2695e-002	-9,1057e-005	-2,4298e-005	
100,000000	2,4872e-006	-1,5130e-002	-6,8293e-005	-3,1759e-005	
200,000000	-5,1274e-005	-1,5130e-002	-6,4499e-005	-2,1045e-006	
300,000000	1,6645e-005	-1,8913e-002	-6,8293e-005	-1,8367e-005	
400,000000	1,0140e-005	-1,8913e-002	-6,4499e-005	-1,2245e-005	
500,000000	-5,2231e-005	-1,5130e-002	-1,0623e-004	7,6529e-006	
600,000000	2,9464e-005	-2,2695e-002	-9,1057e-005	-5,5866e-005	
700,000000	-2,1045e-006	-1,8913e-002	-9,4851e-005	-6,1223e-006	
800,000000	-3,8838e-005	-1,1348e-002	-8,3469e-005	8,2268e-006	
900,000000	5,5483e-006	-2,2695e-002	-4,5529e-005	-5,4144e-005	
1000,000000	-5,0126e-005	-3,0261e-002	-6,0705e-005	-1,1479e-006	
1100,000000	-3,1568e-005	-1,1348e-002	-6,0705e-005	-3,3099e-005	
1200,000000	1,9132e-007	-7,5652e-003	-6,0705e-005	-4,3621e-005	
1300,000000	-3,5203e-005	-2,6478e-002	-9,4851e-005	1,3010e-005	
1400,000000	-1,7219e-006	-1,8913e-002	-6,4499e-005	-3,4629e-005	
1500,000000	-7,0789e-006	-1,8913e-002	-9,8646e-005	-5,1083e-005	
1600,000000	-2,8890e-005	-2,2695e-002	-1,1762e-004	8,6095e-006	
1700,000000	1,9132e-007	-1,5130e-002	-7,2087e-005	-4,4004e-005	
1800,000000	-3,3673e-005	-7,5652e-003	-8,3469e-005	4,5917e-006	
1900,000000	-2,2767e-005	-1,8913e-002	-6,0705e-005	7,4615e-006	
2000,000000	-1,9897e-005	-1,5130e-002	-5,3117e-005	-4,0560e-005	
2100,000000	-3,8073e-005	-1,8913e-002	-9,8646e-005	7,4615e-006	
2200,000000	1,3584e-005	-2,6478e-002	-6,8293e-005	3,0611e-006	
2300,000000	-2,3341e-005	-3,0261e-002	-6,8293e-005	-3,3864e-005	
2400,000000	3,8264e-006	-1,8913e-002	-9,8646e-005	-8,9921e-006	
2500,000000	1,6262e-005	-1,8913e-002	-7,5881e-005	-4,3430e-005	
2600,000000	-4,4769e-005	-1,1348e-002	-1,0244e-004	-2,3724e-005	
2700,000000	3,8264e-006	-1,8913e-002	-8,3469e-005	-1,6262e-005	
2800,000000	1,4540e-005	-2,2695e-002	-6,4499e-005	-2,6211e-005	
2900,000000	-4,4769e-005	-1,5130e-002	-7,9675e-005	5,9310e-006	
3000,000000	6,3136e-006	-1,8913e-002	-6,4499e-005	-3,0803e-005	
3100,000000	-4,6491e-005	-1,8913e-002	-9,4851e-005	-9,9487e-006	
3200,000000	-2,8890e-005	-1,8913e-002	-9,1057e-005	-2,1619e-005	
3300,000000	3,2525e-006	-1,8913e-002	-8,7263e-005	-4,6109e-005	
3400,000000	-4,0752e-005	-1,5130e-002	-8,3469e-005	7,6529e-006	
3500,000000	-2,8124e-005	-1,1348e-002	-7,2087e-005	-4,0560e-005	
3600,000000	-1,0714e-005	-1,5130e-002	-6,0705e-005	-4,5917e-005	
3700,000000	-5,8927e-005	-1,8913e-002	-9,4851e-005	1,0331e-005	
3800,000000	1,0905e-005	-2,2695e-002	-8,3469e-005	-3,8647e-005	
